Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
404	8.9758e-002	-4.7325e-002	-2.386e-002	-0.76461
405	8.9758e-002	-5.2854e-002	-3.9333e-003	-0.83974
406	8.9758e-002	-5.0336e-002	1.6592e-002	-0.80803
407	8.9758e-002	-4.0155e-002	3.4592e-002	-0.68304
408	8.7083e-002	-2.0309e-002	4.8954e-002	-0.47793
409	-8.979e-002	-4.7835e-002	2.2821e-002	-0.77575
410	-8.9758e-002	-5.2854e-002	3.9333e-003	-0.8402
411	-8.9758e-002	-5.0336e-002	-1.6592e-002	-0.804
412	-8.9758e-002	-4.0155e-002	-3.4592e-002	-0.67573
413	-8.9758e-002	-2.386e-002	-4.7325e-002	-0.50155
414	-8.9758e-002	-3.9333e-003	-5.2854e-002	-0.33174
415	-8.9758e-002	1.6592e-002	-5.0336e-002	-0.19487
416	-8.9758e-002	3.4592e-002	-4.0155e-002	-9.715e-002
417	-8.9758e-002	4.7325e-002	-2.386e-002	-3.6702e-002
418	-8.8779e-002	5.2921e-002	-2.8851e-003	-1.2643e-002
419	-8.9758e-002	5.0336e-002	1.6592e-002	-2.731e-002
420	-9.0428e-002	4.1288e-002	3.3231e-002	-7.2365e-002
421	-9.0717e-002	2.4242e-002	4.7131e-002	-0.1619
422	-6.2946e-002	5.258e-002	6.6621e-003	-8.7108e-003
423	-5.8609e-002	4.2016e-002	3.2306e-002	-7.1297e-002
424	-4.8324e-002	3.4512e-002	4.0223e-002	-0.11414
425	6.7168e-002	4.9025e-002	2.0139e-002	-3.3558e-002
426	7.2196e-002	5.0349e-002	-1.6553e-002	-2.3097e-002
427	6.6003e-002	-8.2684e-003	5.2351e-002	-0.37388
428	4.2467e-002	-7.7087e-003	5.2436e-002	-0.36579
429	1.8894e-002	-9.0403e-003	5.2223e-002	-0.37332
430	-3.1998e-002	-9.0682e-003	5.2218e-002	-0.37468
431	-5.85e-002	-1.0066e-002	5.2035e-002	-0.3868
432	-8.2225e-002	-1.1435e-002	5.1752e-002	-0.40074
433	5.7986e-002	4.4023e-002	-2.9512e-002	-5.3631e-002
434	-3.9203e-002	1.4203e-002	-5.1062e-002	-0.21308
435	-2.6697e-002	7.3498e-004	-5.2995e-002	-0.29276
436	-1.7332e-002	-9.3806e-003	-5.2163e-002	-0.36547
437	6.3688e-003	-1.3569e-002	5.1234e-002	-0.41046
438	-1.349e-002	-1.7501e-002	5.0027e-002	-0.44371
439	5.5076e-002	2.7183e-002	4.5498e-002	-0.15128
440	5.5646e-002	2.9078e-002	-4.4311e-002	-0.13106
441	3.8613e-002	1.1123e-002	-5.182e-002	-0.23026
442	2.216e-002	-6.4488e-003	-5.2606e-002	-0.34259
443	6.4029e-003	-1.2185e-002	-5.158e-002	-0.38796
