Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
424	-4.8324e-002	3.4512e-002	4.0223e-002	5.3492e-003
425	6.7168e-002	4.9025e-002	2.0139e-002	-5.5675e-002
426	7.2196e-002	5.0349e-002	-1.6553e-002	6.1709e-002
427	6.6003e-002	-8.2684e-003	5.2351e-002	-0.14475
428	4.2467e-002	-7.7087e-003	5.2436e-002	-8.0066e-002
429	1.8894e-002	-9.0403e-003	5.2223e-002	-2.9975e-002
430	-3.1998e-002	-9.0682e-003	5.2218e-002	2.6313e-002
431	-5.85e-002	-1.0066e-002	5.2035e-002	9.4065e-002
432	-8.2225e-002	-1.1435e-002	5.1752e-002	0.16229
433	5.7986e-002	4.4023e-002	-2.9512e-002	3.5085e-002
434	-3.9203e-002	1.4203e-002	-5.1062e-002	-2.2928e-002
435	-2.6697e-002	7.3498e-004	-5.2995e-002	-1.4545e-002
